Duck Soup	1933	1990
Dumbo	1941	2017
E.T. The Extra-Terrestrial	1982	1994
Eadweard Muybridge, Zoopraxographer	1974	2015
Early Abstractions	1939-1956	2006
East of Eden	1955	2016
Easy Rider	1969	1998
Eaux d’artifice	1953	1993
Edison Kinetoscopic Record of a Sneeze	1894	2015
El Mariachi	1992	2011
El Norte	1983	1995
Electronic Labyrinth: THX 1138 4EB	1967	2010
Ella Cinders	1926	2013
Emigrants Landing at Ellis Island	1903	2019
The Emperor Jones	1933	1999
Empire	1964	2004
The Empire Strikes Back	1980	2010
Employees Entrance	1933	2019
The Endless Summer	1966	2002
Enter the Dragon	1973	2004
Eraserhead	1977	2004
Eve's Bayou	1997	2018
The Evidence of the Film	1913	2001
The Exiles	1961	2009
The Exorcist	1973	2010
The Exploits of Elaine	1914	1994
A Face in the Crowd	1957	2008
Faces	1968	2011
Fake Fruit Factory	1986	2011
The Fall of the House of Usher	1928	2000
Fantasia	1940	1990
Fargo	1996	2006
Fast Times at Ridgemont High	1982	2005
Fatty’s Tintype Tangle	1915	1995
Felicia	1965	2014
Ferris Bueller's Day Off	1986	2014
Field of Dreams	1989	2017
Film Portrait	1972	2003
Five Easy Pieces	1970	2000
Flash Gordon Serial	1936	1996
Flesh and the Devil	1927	2006
Flower Drum Song	1961	2008
Fog of War	2003	2019
A Fool There Was	1915	2015
Foolish Wives	1922	2008
Footlight Parade	1933	1992
Forbidden Planet	1956	2013
Force of Evil	1948	1994
The Forgotten Frontier	1931	1996
Forrest Gump	1994	2011
The Four Horsemen of the Apocalypse	1921	1995
Fox Movietone News: Jenkins Orphanage Band	1928	2003
Frank Film	1973	1996
Frankenstein	1931	1991
Freaks	1932	1994
Free Radicals	1979	2008
Freedom Riders	2010	2020
The French Connection	1971	2005
The Freshman	1925	1990
From Here to Eternity	1953	2002
From Stump to Ship	1930	2002
From the Manger to the Cross	1912	1998
The Front Page	1931	2010
Fuentes Family Home Movies Collection	1920s and 1930s	2017
Fuji	1974	2002
Funny Girl	1968	2016
Fury	1936	1995
The Gang's All Here	1943	2014
Garlic Is As Good As Ten Mothers	1980	2004
Gaslight	1944	2019
The General	1927	1989
Gentleman’s Agreement	1947	2017
George Stevens’ World War II Footage	1943-1946	2008
George Washington Carver at Tuskegee Institute	1937	2019
Gerald McBoing-Boing	1951	1995
Gertie The Dinosaur	1914	1991
Ghostbusters	1984	2015
Giant	1956	2005
Gigi	1958	1991
Gilda	1946	2013
The Girl Without a Soul	1917	2018
Girlfriends	1978	2019
Glimpse of the Garden	1957	2007
The Godfather	1972	1990
The Godfather Part II	1974	1993
Going My Way	1944	2004
Gold Diggers of 1933	1933	2003
The Gold Rush	1925	1992
Gone With the Wind	1939	1989
Goodfellas	1990	2000
The Goonies	1985	2017
The Graduate	1967	1996
Grand Hotel	1932	2007
The Grapes of Wrath	1940	1989
Grass	1925	1997
Grease	1978	2020
The Great Dictator	1940	1997
The Great Train Robbery	1903	1990
Greed	1924	1991
Grey Gardens	1976	2010
The Ground	1993-2001	2020
Groundhog Day	1993	2006
Growing Up Female	1971	2011
Guess Who’s Coming to Dinner	1967	2017
Gun Crazy aka Deadly Is the Female	1949	1998
Gunga Din	1939	1999
H2O	1929	2005
Hail the Conquering Hero	1944	2015
Hair Piece: A Film for Nappy Headed People	1984	2018
Hallelujah!	1929	2008
Halloween	1978	2006
Hands Up!	1926	2005
